City,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Willits city, California","4,888","4,926","4,922","4,881","4,874","4,859","4,862","4,867","4,885","4,898","4,925","4,890"
"Willows city, California","6,166","6,163","6,148","6,138","6,084","6,064","6,064","6,011","6,018","6,005","6,004","6,072"
"Windsor town, California","26,801","26,791","26,811","26,882","26,994","27,157","27,280","27,373","27,493","27,431","27,769","27,128"
"Winters city, California","6,624","6,624","6,621","6,832","6,868","6,894","6,922","7,006","7,139","7,251","7,277","7,315"
"Woodlake city, California","7,279","7,295","7,317","7,327","7,355","7,600","7,629","7,625","7,614","7,629","7,621","7,658"
"Woodland city, California","55,468","55,553","55,615","55,786","56,272","56,713","57,328","58,385","59,098","59,923","60,474","60,548"
"Woodside town, California","5,287","5,284","5,291","5,353","5,412","5,471","5,521","5,555","5,570","5,547","5,504","5,458"
"Yorba Linda city, California","64,234","64,167","64,390","65,610","66,282","66,803","67,359","67,527","68,033","67,895","67,589","67,644"
"Yountville city, California","2,933","2,925","2,927","2,938","2,944","2,954","2,971","2,992","2,992","2,977","2,982","2,966"
"Yreka city, California","7,765","7,762","7,789","7,743","7,646","7,546","7,533","7,539","7,545","7,557","7,523","7,518"
"Yuba City city, California","64,925","65,634","65,631","65,364","65,283","65,538","65,757","66,134","66,218","66,564","66,695","67,010"
"Yucaipa city, California","51,367","51,347","51,474","51,954","52,280","52,546","52,730","52,981","53,186","53,496","53,557","53,921"
"Yucca Valley town, California","20,700","20,652","20,695","20,867","20,991","21,044","21,304","21,431","21,538","21,650","21,691","21,777"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. An ""(X)"" in the 2010 Census field indicates a locality that was formed or incorporated after the 2010 Census. Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in California: April 1, 2010 to July 1, 2019 (SUB-IP-EST2019-ANNRES-06)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: May 2020,,,,,,,,,,,,
