City,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"El Paso de Robles (Paso Robles) city, California","29,793","29,747","29,786","30,076","30,399","30,718","31,108","31,346","31,722","31,772","32,133","32,153"
"El Segundo city, California","16,654","16,656","16,656","16,719","16,796","16,855","16,900","16,891","16,835","16,752","16,663","16,610"
"Emeryville city, California","10,080","10,112","10,125","10,222","10,358","10,878","11,311","11,765","11,792","11,751","12,109","12,086"
"Encinitas city, California","59,518","59,526","59,684","60,264","60,890","61,555","62,023","62,590","62,921","62,884","62,750","62,709"
"Escalon city, California","7,132","7,123","7,135","7,190","7,215","7,216","7,343","7,474","7,501","7,550","7,566","7,574"
"Escondido city, California","143,911","143,976","144,440","146,099","147,570","148,794","149,708","150,683","151,204","151,220","151,793","151,625"
"Etna city, California",737,737,736,730,724,714,712,711,713,716,717,718
"Eureka city, California","27,191","27,196","27,201","27,161","26,931","26,895","26,874","26,902","27,153","27,126","26,968","26,710"
"Exeter city, California","10,334","10,332","10,341","10,375","10,420","10,458","10,490","10,486","10,477","10,502","10,508","10,485"
"Fairfax town, California","7,441","7,444","7,450","7,512","7,545","7,609","7,631","7,624","7,602","7,568","7,560","7,522"
"Fairfield city, California","105,321","105,467","105,598","106,245","107,497","109,137","110,727","112,365","114,456","115,817","116,678","117,133"
"Farmersville city, California","10,588","10,588","10,585","10,594","10,639","10,680","10,711","10,710","10,702","10,726","10,729","10,703"
"Ferndale city, California","1,371","1,373","1,374","1,379","1,367","1,362","1,363","1,364","1,371","1,372","1,363","1,352"
"Fillmore city, California","15,002","14,987","15,013","15,076","15,117","15,226","15,324","15,444","15,557","15,703","15,742","15,870"
"Firebaugh city, California","7,549","7,562","7,601","7,764","7,894","8,053","8,259","8,276","8,290","8,294","8,315","8,296"
"Folsom city, California","72,203","72,147","72,110","72,542","73,042","72,782","74,950","75,935","76,999","77,798","78,842","81,328"
"Fontana city, California","196,069","196,458","197,317","199,880","201,212","202,670","203,972","206,163","208,718","211,122","213,202","214,547"
"Fort Bragg city, California","7,273","7,306","7,307","7,277","7,279","7,268","7,283","7,277","7,291","7,308","7,347","7,291"
"Fort Jones city, California",839,710,710,704,694,686,684,683,685,690,689,692
"Fortuna city, California","11,926","12,039","12,048","12,028","11,927","11,891","11,973","12,057","12,199","12,277","12,322","12,259"
"Foster City city, California","30,567","30,568","30,609","30,965","32,098","32,416","32,698","33,470","34,279","34,292","34,109","33,901"
"Fountain Valley city, California","55,313","55,360","55,470","55,950","56,318","56,601","56,671","56,643","56,423","56,051","55,663","55,357"
"Fowler city, California","5,570","5,654","5,665","5,921","5,929","5,938","6,028","6,242","6,353","6,487","6,750","6,790"
"Fremont city, California","214,089","214,074","214,553","217,391","221,426","224,796","228,274","231,687","233,478","234,544","237,811","241,110"
"Fresno city, California","494,665","497,172","497,769","501,429","505,414","508,880","514,100","518,203","521,426","525,373","528,814","531,576"
"Fullerton city, California","135,161","135,233","135,291","136,386","138,103","138,637","138,840","139,982","140,454","139,744","139,273","138,632"
"Galt city, California","23,647","23,703","23,739","24,142","24,274","24,433","24,760","25,226","25,619","26,167","26,378","26,536"
"Gardena city, California","58,829","58,829","58,835","59,114","59,368","59,788","59,843","59,946","59,873","59,871","59,540","59,329"
"Garden Grove city, California","170,883","170,958","171,181","172,957","173,809","174,422","174,423","174,343","174,571","173,422","172,195","171,644"
"Gilroy city, California","48,821","48,879","49,006","49,700","50,718","51,893","52,538","53,259","55,369","57,549","58,588","59,032"
"Glendale city, California","191,719","191,692","191,720","192,656","193,859","195,318","198,232","199,197","200,118","201,804","200,688","199,303"
"Glendora city, California","50,073","50,267","50,376","50,624","50,795","51,120","51,065","51,769","51,882","51,997","51,846","51,544"
"Goleta city, California","29,888","30,096","30,143","30,176","30,387","30,639","30,880","30,963","30,921","31,098","30,954","30,911"
"Gonzales city, California","8,187","8,149","8,171","8,230","8,301","8,349","8,379","8,402","8,428","8,396","8,349","8,306"
"Grand Terrace city, California","12,040","12,040","12,064","12,155","12,243","12,301","12,334","12,387","12,460","12,557","12,556","12,584"
"Grass Valley city, California","12,860","12,876","12,876","12,903","12,820","12,784","12,840","12,929","12,927","12,932","12,881","12,817"
"Greenfield city, California","16,330","16,334","16,414","16,540","16,682","16,766","16,826","17,047","17,361","17,362","17,561","17,516"
"Gridley city, California","6,584","6,640","6,634","6,605","6,605","6,603","6,624","6,617","6,622","6,636","6,634","7,246"
"Grover Beach city, California","13,156","13,161","13,176","13,210","13,307","13,403","13,464","13,526","13,586","13,585","13,501","13,459"
"Guadalupe city, California","7,080","7,080","7,086","7,091","7,139","7,191","7,248","7,279","7,288","7,319","7,613","7,783"
"Gustine city, California","5,520","5,520","5,534","5,582","5,601","5,621","5,649","5,712","5,801","5,815","5,847","5,882"
"Half Moon Bay city, California","11,324","11,324","11,345","11,501","11,677","12,054","12,355","12,657","12,761","12,840","12,974","12,932"
"Hanford city, California","53,967","54,436","54,463","54,612","54,524","54,741","55,086","55,608","55,663","56,383","56,971","57,703"
"Hawaiian Gardens city, California","14,254","14,273","14,277","14,329","14,376","14,419","14,430","14,461","14,423","14,356","14,262","14,159"
"Hawthorne city, California","84,293","84,290","84,295","84,922","85,359","85,863","86,740","87,669","87,685","87,308","86,671","86,068"
"Hayward city, California","144,186","144,427","144,835","146,935","149,406","151,753","154,376","157,999","159,331","160,324","159,760","159,203"
"Healdsburg city, California","11,254","11,255","11,309","11,350","11,392","11,485","11,613","11,705","11,806","11,795","12,076","11,845"
"Hemet city, California","78,657","78,630","79,090","80,226","81,033","81,718","82,541","83,305","84,121","84,809","85,148","85,334"
"Hercules city, California","24,060","24,089","24,147","24,346","24,571","24,804","25,038","25,271","25,416","25,505","25,612","26,276"
"Hermosa Beach city, California","19,506","19,508","19,506","19,570","19,640","19,674","19,659","19,688","19,722","19,590","19,404","19,320"
"Hesperia city, California","90,173","90,100","90,279","91,168","91,568","91,777","92,071","92,653","93,251","94,473","95,013","95,750"
"Hidden Hills city, California","1,856","1,856","1,856","1,869","1,878","1,891","1,895","1,908","1,916","1,910","1,891","1,890"
"Highland city, California","53,104","53,106","53,218","53,671","53,939","54,150","54,325","54,553","54,752","55,198","55,311","55,417"
"Hillsborough town, California","10,825","10,839","10,859","11,001","11,131","11,261","11,379","11,466","11,490","11,464","11,446","11,387"
