zip,city,population,SeptIncid,tests_2020_03,tests_2020_04,tests_2020_05,tests_2020_06,tests_2020_07,tests_2020_08,tests_2020_09,tests_2020_10,tests_2020_11,tests_2020_12,tests_2021_01,tests_2021_02,tests_2021_03,tests_2021_04,tests_2021_05,tests_2021_06,tests_2021_07,tests_2021_08,tests_2021_09,tests_2021_10,tests_2021_11,tests_2021_12,tests_2022_01,tests_2022_02,tests_2022_03,tests_2022_04,cases_2020_03,cases_2020_04,cases_2020_05,cases_2020_06,cases_2020_07,cases_2020_08,cases_2020_09,cases_2020_10,cases_2020_11,cases_2020_12,cases_2021_01,cases_2021_02,cases_2021_03,cases_2021_04,cases_2021_05,cases_2021_06,cases_2021_07,cases_2021_08,cases_2021_09,cases_2021_10,cases_2021_11,cases_2021_12,cases_2022_01,cases_2022_02,cases_2022_03,cases_2022_04
92655,Midway City,8618,35.98416697,11,68,173,322,445,373,293,402,711,1633,1599,913,589,483,486,503,553,798,811,828,806,1090,2393,872,680,374,0,7,13,32,57,33,12,20,94,347,275,75,24,6,2,4,35,51,26,11,21,160,540,57,15,15
92656,Aliso Viejo,52966,13.25286466,154,364,1376,2361,2997,2300,2167,2994,4664,7058,7129,4659,4114,3847,3145,2790,3215,5079,6584,5925,5148,7016,11326,4653,3355,2211,14,20,21,130,178,58,56,57,281,835,789,202,67,35,30,22,257,354,261,155,168,846,2443,234,63,86
92657,Newport Coast,12157,10.26588646,55,131,214,422,482,453,543,528,765,1099,1072,647,894,1036,696,695,711,1130,1235,975,1097,1391,1899,1050,687,413,9,5,2,25,29,15,8,6,20,99,97,27,15,7,9,7,38,54,21,15,17,148,337,31,15,15
92660,Newport Beach,36123,18.67977124,157,310,669,1255,1889,1611,1611,2116,3034,4712,4388,3403,4094,3856,2437,1971,2178,3346,3585,2889,3259,6218,8402,2752,3867,3282,32,23,11,120,153,33,29,52,121,360,414,151,77,49,22,34,128,177,126,69,93,789,1481,156,53,51
92661,Newport Beach,3938,13.35470085,13,29,64,165,158,137,138,175,307,491,441,278,292,272,191,209,183,311,239,235,263,337,388,208,186,107,4,3,2,29,16,2,5,6,9,48,44,19,9,7,5,3,11,22,10,6,7,52,68,9,2,5
92662,Newport Beach,2848,0,11,28,51,94,111,98,95,138,211,314,275,148,214,205,148,96,119,162,183,154,168,267,287,175,154,105,2,1,0,7,11,3,1,3,7,33,46,5,4,1,0,0,6,15,8,11,4,32,39,7,2,5
92663,Newport Beach,22489,13.857453,71,178,482,1092,1448,1290,1331,1756,2658,4365,3926,2783,2586,2480,2038,1344,1431,2122,2038,1852,1913,3034,3927,1955,1363,959,12,14,54,159,177,33,53,40,136,470,409,116,76,45,13,15,103,169,66,65,68,425,809,79,27,30
92672,San Clemente,41674,24.6634169,125,295,559,1058,1403,1190,1360,1628,2474,3685,3579,2201,2415,2381,1980,1780,1886,2727,2956,3017,2981,3817,5344,2421,1926,1262,17,17,26,74,131,52,51,55,206,544,522,188,29,44,24,42,145,261,155,109,104,489,1315,158,31,37
92673,San Clemente,33456,27.29537002,109,235,419,827,1107,992,1183,1411,2002,2987,3105,1794,2169,2441,1799,1795,1693,2476,2906,3076,3062,4080,5690,2330,1767,1355,20,10,6,38,101,31,55,36,154,417,435,105,34,41,25,30,123,257,100,96,97,493,1276,109,29,29
92675,San Juan Capistrano,37978,43.1890818,132,288,658,1186,1454,1320,1741,2313,3018,5214,5022,2530,2477,2253,2082,1744,1933,3114,3676,3560,3453,4282,7587,3179,2295,1461,22,24,64,99,204,123,122,129,320,995,874,152,42,63,28,15,147,294,161,106,120,563,1613,174,51,37
92677,Laguna Niguel,67124,16.58846391,278,458,1053,1970,2480,2024,2274,2992,4467,7246,7222,4427,4866,4456,3923,3455,4129,5762,6488,5973,5666,7938,12067,5294,4107,2695,40,14,21,121,184,74,69,95,272,906,878,225,96,52,35,24,348,449,249,189,152,1034,2620,285,87,95
92679,Trabuco Canyon,33336,16.86547484,84,188,431,890,1275,976,1115,1401,2102,3113,3384,2609,2786,2465,1837,1716,1769,2658,3223,2832,3007,4275,5435,2257,1984,1429,9,8,8,72,128,30,28,34,129,403,358,109,50,22,14,14,145,219,164,105,118,653,1165,113,26,37
92683,Westminster,92938,21.17062409,135,603,1642,3079,3935,3687,3335,4443,7249,16670,15975,8555,6698,5634,4831,4132,5023,7635,8474,8113,8003,12333,25276,8966,6722,4107,4,55,129,333,407,225,149,181,829,3387,2401,625,196,86,36,40,352,631,331,257,244,1865,6396,613,127,124
92688,Rancho Santa Margarita,45484,22.83522104,113,277,602,1355,2198,1467,1641,2304,3160,5203,5276,3018,2927,2625,2316,2340,2570,3896,4359,4975,4943,7212,10556,4534,3711,2447,7,15,14,119,169,54,45,51,176,697,683,153,66,50,21,24,212,375,204,168,146,880,2505,272,57,62
92691,Mission Viejo,48837,21.01635072,135,306,782,1642,2223,1729,1967,2590,3774,6436,5921,3647,3384,2863,2644,2368,2773,4297,4466,4497,4513,6563,10629,4509,3365,2092,11,16,29,161,221,63,90,81,293,954,740,197,55,32,25,12,210,425,184,146,210,935,2473,199,54,82
92692,Mission Viejo,48026,20.11774173,148,327,778,1545,2014,1666,1948,2372,3415,5060,5235,3225,3196,2859,2470,2444,2804,4362,4383,4342,4270,6840,9250,3948,3072,2058,19,25,20,112,149,50,59,60,208,632,712,162,65,37,17,12,155,322,147,174,134,841,2159,220,62,70
