"","City","Population"
"422","Stanton",38139
"423","Stockton",312697
"424","Suisun City",29663
"425","Sunnyvale",152703
"426","Susanville",15010
"427","Sutter Creek",2622
"428","Taft",9272
"429","Tehachapi",13011
"430","Tehama",373
"431","Temecula",114761
"432","Temple City",35811
"433","Thousand Oaks",126813
"434","Tiburon town",9084
"435","Torrance",143592
"436","Tracy",94740
"437","Trinidad",355
"438","Truckee town",16735
"439","Tulare",65496
"440","Tulelake",978
"441","Turlock",73631
"442","Tustin",79348
"443","Twentynine Palms",26073
"444","Ukiah",15995
"445","Union City",74107
"446","Upland",77140
"447","Vacaville",100670
"448","Vallejo",121692
"449","Vernon",110
"450","Victorville",122385
"451","Villa Park",5790
"452","Visalia",134605
"453","Vista",101638
"454","Walnut",29685
"455","Walnut Creek",70166
"456","Wasco",28710
"457","Waterford",8962
"458","Watsonville",53856
"459","Weed",2725
"460","West Covina",105101
"461","West Hollywood",36475
"462","Westlake Village",8217
"463","Westminster",90643
"464","Westmorland",2254
"465","West Sacramento",53519
"466","Wheatland",3873
"467","Whittier",85098
"468","Wildomar",37229
"469","Williams",5408
"470","Willits",4890
"471","Willows",6072
"472","Windsor town",27128
"473","Winters",7315
"474","Woodlake",7658
"475","Woodland",60548
"476","Woodside town",5458
"477","Yorba Linda",67644
"478","Yountville",2966
"479","Yreka",7518
"480","Yuba City",67010
"481","Yucaipa",53921
"482","Yucca Valley town",21777
"483","Note: The estimates are based on the 2010 Census and reflect changes to the April 1",NA
"484","Suggested Citation:",NA
"485","Annual Estimates of the Resident Population for Incorporated Places in California: April 1",NA
"486","Source: U.S. Census Bureau",NA
"487","Release Date: May 2020",NA
